承担单位,级别,序号,项目名称,项目批次,支持方向
南方医科大学,省级,192,胰腺腺泡细胞Atp8b1组蛋白甲基化导 致鞘磷脂代谢紊乱加重慢性胰腺炎纤维化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,193,骨髓巨噬细胞-间充质细胞轴致B细胞稳态异常在慢性移植物抗宿主病发病中的作用及机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,194,组合STING激动剂的mRNA纳米疫苗抑制 肿瘤转移复发的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,195,新型仿生纳米囊泡-AIEgen复合体系的 构建及用于耐药肿瘤靶向诊疗的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,196,聚焦海马DG区神经再生，探讨可卡因成瘾戒断后焦虑抑郁样表型调控机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,197,类病毒mRNA纳米递送系统用于靶向基因编辑治疗及脱靶效应的评估,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,198,基于时空精神病理学模式探究阈下抑郁的脑机制及其临床转归,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,199,肺部氧化应激在特发性膜性肾病中的致病作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,200,放疗刺激调控PARP6和PAQR3的剪接模式诱导胶质瘤干细胞前神经元-间质转化的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,201,模型和数据协同驱动的扩散峰度成像新方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,202,基于p-tau适配体的PROTAC分子的构建及其在AD研究中的作用,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,203,UBE2C多泛素化PCNA调控DNA损伤修复及免疫微环境介导肝癌放疗抵抗,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,204,单个EV核酸检测新技术构建及其在结核病的早期诊断中的应用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,205,RAGE/β-catenin信号轴与Hippo- YAP/TAZ通路Cross-Talk介导线粒体损伤参与TDI激素抵抗型哮喘气道炎症的 机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,206,葛根“不入血”成分PRS驱动 Akkermansia菌分泌褪黑素改善脑卒中预后的机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,207,抑郁症患者的自杀风险管理研究：基于语音特征的识别模型与干预策略,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,208,基于克服耐药性的亚族选择性CDK2抑制剂的结构优化及作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,209,基于两亲性Janus颗粒的碘油药物乳滴微球的构建及其肝癌动脉栓塞治疗研 究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,210,维康颗粒调节“肠-肌”轴改善亚健康骨骼肌衰老变性的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,211,基于多任务深度学习融合肿瘤微环境多模态图像量化特征预测骨肉瘤新辅助化疗疗效的研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,212,基于TFEB介导的自噬-溶酶体通路调控 脂代谢探讨“脂三针”抑制AD神经炎症的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,213,基于图像信息感知的多部位医学图像合成方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,214,晚期氧化蛋白产物诱导骨骼肌细胞衰老的机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,215,SEC61G与EGFR共扩增并促进胶质母细胞瘤免疫逃逸的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,216,SCD1介导脂肪酸代谢参与定心方 III号方调控机体脂质稳态作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,217,基于家系和独立个体混合数据的精准定位X染色体数量性状位点统计方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,218,HPV16 E6/E7-TINCR-DHX9信号轴在宫颈癌进展中的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,219,LARP6通过ZNF267/SGMS2介导的鞘磷脂代谢途径调控结直肠癌侵袭转移的分子机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,220,Atf3/c-Jun/Lgals3轴介导小胶质细胞活化在下丘脑损伤后水钠代谢紊乱及功能重建中的作用研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,221,MRP2/MRP3-UGT1A9调控黄芩黄酮的代 谢规律及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,222,基于Nanopore纳米孔三代测序技术的地中海贫血快速高通量基因分型,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,223,COP1介导低频重复经颅磁刺激治疗癫痫的炎性机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,224,SP1/PlexinB2/PAR3信号轴在脊髓损伤后神经修复中的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,225,MCT4调控肿瘤细胞糖酵解重编程致T细胞耗竭在复发/难治B细胞淋巴瘤中的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,226,术前/术后复发脑胶质瘤磁共振图像配准方法新研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,227,携载“I型AIE光敏剂-柳氮磺吡啶”的血小板仿生纳米囊泡双向诱导铁死亡增敏胃癌化疗的作用及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医科大学,省级,228,牛磺酸通过代谢重编程增强TCR-T细胞抗肝癌效应及机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,229,“双碳”目标下地区间环境规制互动对企业绿色发展的影响研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,青年提 升
广东外语外贸大学,省级,230,农业保险促进共同富裕的收入和风险再分配效应及路径优化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,231,基于托宾Q理论的政府补贴创新激励效应与政策优化研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,232,粤港澳大湾区高新技术企业颠覆性创新的动态过程机制研究 ——基于最优区分理论视角,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,233,面向多语种信息的并行后缀数组构造与检索算法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,234,数字化赋能中国制造业企业出口贸易 绿色转型：微观机理、实证识别与政策设计,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,235,基于本体学习和链接综合评价的多目标主题爬行方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,236,贸易摩擦的涟漪效应与企业ESG信息披露：作用机理及传导路径,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,237,中国自主品牌赢得消费者心智优势的路径及后疫情时代应对策略研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,238,环境规制政策协同对高耗能企业绿色创新效率的影响效果与作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,239,对华南南贸易保护的友岸外包措施及其RCEP区域价值链效应研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,240,含随机噪声复杂网络的同步动力学分析与控制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,241,新发展格局背景下家庭负债对中国居民消费的影响研究：机制、效应和政 策,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,242,基于机器学习的个人养老金资产配置与风险管理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,243,多时空尺度下居民绿化暴露对心理健康与即时情绪的影响研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,244,联合超图学习和对比学习的非完整多视角聚类方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,245,跨语种法律文本中不公平性机理发掘与偏见消除方法研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广东外语外贸大学,省级,246,均值回归与超越：中国家族企业接班人家庭科学培育与跨代创业研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州医科大学附属 市八医院,省级,247,NCOA4介导的铁蛋白自噬调控巨噬细胞 铁代谢在结核病发生发展中的作用和 分子机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医院太和分院,省级,248,基于CREB/HO-1途径探讨葛根素介导滋 养细胞铁死亡参与子痫前期发病的机 制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
南方医院太和分院,省级,249,基于“线粒体-NLRP3-NETs”途径探讨 青蒿琥酯改善缺血性脑卒中神经血管重建的作用机制,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州市林业和园林科学研究院,省级,250,解磷菌Penicillium brocae在土壤中的定殖动态及其微生态效应研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州市老人院（广州市老年医院）,省级,251,SLC11A2调控ACSL4抑制细胞铁死亡介导肝癌索拉非尼耐药的作用机制研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
广州铁路职业技术学院,省级,252,面向超高速电主轴冷却的电磁驱动液态金属高效传热机理研究,2023年度广东省基础与应用基础研究基金自然科学基金项目,面上
